id,airport,latitude,longitude
0,Aberdeen International Airport,57.2037,-2.2005
1,Edinburgh Airport,55.9474,-3.3614
2,Glasgow Airport,55.8699,-4.4326
3,Glasgow Prestwick Airport,55.5112,-4.5911
4,Oban Airport,56.4655,-5.3983
5,Barra Airport,57.0252,-7.4496
6,Benbecula Airport,57.4740,-7.3716
7,Campbeltown Airport,55.4368,-5.6631
8,Dundee Airport,56.4539,-3.0161
9,Inverness Airport,57.5460,-4.0496
10,Islay Airport,55.6811,-6.2566
11,Kirkwall Airport,58.9540,-2.9055
12,Stornoway Airport,58.2145,-6.3216
13,Sumburgh Airport,59.8799,-1.2909
14,Tiree Airport,56.4991,-6.8770
15,Wick John Oâ€™Groats Airport,58.4534,-3.0878